address,balance,lifetime,tx_in,tx_out,investment_in,payment_out,investment_to_contract/tx_in,payment_from_contract/tx_out,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,known_rate,owner_gets_eth_Wo_investing,owner_gets_eth_investing,owner_no_eth,target,skew_v1,skew_v2,N_maxpayment
0x01680dc54cf0942bcabc1d6c955007e180ed4dd1,0.0095,0,5,11,4,11,0.8,1.0,2,3,2.333333,1.247219,-0.003167,0.020834,2.75,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0,1,0.93522,-1.407974,4
0xa38feb7b0aaad949a1b99ff516d4e3ea2e317bbf,0.0,0,49,135,48,135,0.9796,1.0,11,10,7.909091,14.462834,0.0,0.450535,2.8125,0.9091,1.0,0.0,1.0,0.0,1.0,0,1,0,1,2.913091,1.102654,57
0x020522bf9b8ed6ff41e2fa6765a17e20e2767d64,400.00001,804,27,58,25,58,0.9259,1.0,22,13,1.5,2.726136,-18.181819,119.764724,2.32,0.5909,0.005,6.759253,0.0025,23.0,1.0,0,1,0,1,0.918651,1.786437,10
0x020e0638aa7d98b40d2a3a7ebd37ebdfc5cba2fd,0.006,37,442,474,422,474,0.9548,1.0,51,47,1.019608,2.986835,-0.000117,0.334815,1.1232,0.9216,0.1892,113.512024,0.1622,130.055117,1.0,0,1,0,1,3.297488,2.39881,49
0x0217495d71d7246205bc1b1039dad814d0c0c192,0.0,1,144,711,135,711,0.9375,1.0,62,41,8.727273,32.648516,0.0,0.838927,5.2667,0.5968,2.0,71.0,1.0,0.0,0.9024,0,0,1,1,3.560829,-0.48809,135
0x032747313c4e914b5fce356ab8dc4df551972dcd,0.0,119,40,2,1,2,0.025,1.0,1,1,1.0,0.0,0.0,0.0,2.0,1.0,0.0168,14.0,0.0084,0.0,1.0,0,1,0,1,0.0,0.0,2
0x039f5f6e0a32c775ea40cd9971c940edb2710283,0.0,3,15,3,11,3,0.7333,1.0,5,2,-1.333333,1.105542,0.0,18.309924,0.2727,0.2,0.6667,6.5,0.3333,0.0,1.0,1,0,0,1,1.951708,1.609562,2
0x03f69791513022d8b67facf221b98243346df7cb,0.0,1,51,172,50,172,0.9804,1.0,29,19,3.935484,13.085169,0.0,1.76024,3.44,0.5862,2.0,12.5,2.0,47.0,0.8947,0,0,1,1,2.973215,0.088219,50
0x05914192cbbaae87a910f79e012b4091a39cc85c,0.07575,36,73,41,36,41,0.4932,1.0,18,21,0.227273,1.443853,-0.003443,0.160414,1.1389,0.9444,0.5556,2.743629,0.4167,1.339983,0.7619,1,0,0,1,2.88023,-0.198755,6
0x05d7c87cf85de4103635ec585b1e36cf240837b4,0.0,1,119,184,117,184,0.9832,1.0,28,21,2.392857,5.219054,0.0,1.603919,1.5726,0.75,2.0,34.5,2.0,54.0,1.0,0,1,0,1,1.969845,0.743277,36
0x073d7a1d115181ae857614650ddea925cc499a72,0.0,0,3,3,1,3,0.3333,1.0,1,3,0.666667,0.471405,0.0,0.212132,3.0,1.0,1.0,0.0,1.0,0.0,0.3333,0,0,1,1,-1.732051,-1.732051,1
0x0ad03236f64e8db6c42dfa096264c26ce57c87ea,0.0,1,72,198,71,198,0.9861,1.0,18,16,7.055556,16.307709,0.0,0.2124,2.7887,0.8889,2.0,28.0,2.0,76.0,1.0,0,1,0,1,3.607309,-2.814419,72
0x0d35e5b6b91254fb405e620448c8760fd10614ae,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x0f7466e713b582630504dd39a72f6e15d2d052a9,0.0,0,3,9,2,9,0.6667,1.0,2,5,1.4,0.8,0.0,0.002153,4.5,1.0,1.0,0.0,1.0,0.0,0.4,0,0,1,1,-1.257788,-1.675783,2
0x11765d5753943fd9a764b8d773319fcfe864b021,0.0,0,20,17,13,17,0.65,1.0,7,7,0.5,0.866025,0.0,0.034724,1.3077,0.8571,1.0,0.0,1.0,0.0,1.0,1,0,0,1,0.0,-0.106503,5
0x124374f24bff86cf043e31344077ece93bd46b57,0.002123,2,17,19,16,19,0.9412,1.0,4,5,0.6,1.74356,-0.000425,0.010558,1.1875,1.0,1.5,6.599663,1.5,6.182412,0.8,0,1,0,1,1.943959,-1.957925,8
0x12905fa36a703d6ef75cb2198f9165192b0c5ae5,0.0,187,207,3,5,3,0.0242,1.0,3,2,-0.666667,0.471405,0.0,1.029404,0.6,0.6667,0.0107,95.5,0.0053,0.0,1.0,0,1,0,1,1.732051,1.705718,2
0x13ddd5c273a027608a42727a46f8250011645166,2.142697,26,164,157,156,157,0.9512,1.0,26,25,0.038462,2.10276,-0.082411,0.966389,1.0064,0.9615,0.3077,27.258026,0.2692,28.459782,1.0,0,1,0,1,4.191123,-3.264653,31
0x146fb1682050e04d951fa84ee35bfec8a16195cb,0.0,0,51,241,50,241,0.9804,1.0,7,7,27.285714,21.795899,0.0,0.026444,4.82,1.0,1.0,0.0,1.0,0.0,0.5714,0,0,1,1,0.386292,-0.194804,61
0x169e429a4d9b7bed90f75198f12266f06c0fb8bc,0.007,37,21,4,10,4,0.4762,1.0,1,1,-6.0,0.0,-0.007,0.0,0.4,1.0,0.1351,2.993326,0.0541,1.0,1.0,0,0,1,1,0.0,0.0,4
0x174650d5ee33a1292cccf5d3fd1c0684a1b7419b,0.0,0,4,1,2,1,0.5,1.0,2,1,-0.333333,0.942809,0.0,1.779513,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1,1.732051,1.630059,1
0xe61953e8c1b4d5eeec29d79f95aa232e8ec537be,0.0,0,5,3,3,3,0.6,1.0,3,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0,1,0.0,0.0,1
0x17d0582dee50a5401bb8f65ac29ec2da50c670ea,0.030103,769,189,22,90,22,0.4762,1.0,28,7,-2.428571,3.849198,-0.001075,0.266686,0.2444,0.25,0.0559,3.828531,0.0221,0.455645,1.0,0,0,1,1,-3.261165,3.901252,6
0x194dd7c558d18e48ba0c35be5c40ec10d8001fda,0.0,1,3,9,2,9,0.6667,1.0,2,5,1.4,0.8,0.0,9.9e-05,4.5,1.0,2.0,0.5,1.0,0.0,0.6,1,0,0,1,-1.257788,-1.786597,2
0x19b115365671a818ed62aa326d91e6e4713f8900,0.0,7,22,44,18,44,0.8182,1.0,11,6,2.166667,5.398045,0.0,0.617364,2.4444,0.4545,0.7143,6.8,0.4286,17.913372,1.0,1,0,0,1,2.352655,0.419674,18
0x1b05e6557768650c0df0c9377c32c621ac1ccf17,1.712878,1323,437,10,123,10,0.2815,1.0,30,4,-3.645161,4.344432,-0.055254,0.739425,0.0813,0.1,0.0045,114.259087,0.0015,2.0,1.0,0,1,0,1,-2.92204,3.477298,6
0x1b442a27fc37b5527ecd5c5ead301dac1638810d,0.01,16,20,13,11,12,0.55,0.9231,3,3,0.333333,1.885618,-0.003333,0.158367,1.0909,1.0,0.5,1.322876,0.375,0.372678,1.0,0,1,0,1,1.732051,0.310017,9
0xb7438d9e851aaff3a86a8bdb060285872a32f558,0.0,15,7,2,5,2,0.7143,1.0,5,2,-0.5,0.763763,0.0,0.003055,0.4,0.2,0.4,0.372678,0.0667,0.0,1.0,1,0,0,1,1.536722,1.536722,1
0xde22069cad238979bd436d5ea0d60475e5e7af06,0.0,1,12,2,10,2,0.8333,1.0,10,2,-0.727273,0.616575,0.0,0.009496,0.2,0.1,2.0,4.0,1.0,0.0,1.0,1,0,0,1,2.420428,2.707626,1
